Timestamp,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
21899.6738041,-5.031639650789128,2.03440779040543,0.3557942903885589,-3.8798185554561044,8.736977075809174,-2.9577069776301794,-0.7457220986646682,1.4877081259369263
21899.6787855,-3.677609550235511,1.55803234140941,0.7181493523759155,-3.3070840012664693,7.455311826783894,-1.7677421413885295,-1.7810918401776838,0.8020340124989662
21899.6812231,-1.990957741865417,0.9597861377097221,0.8483498538758845,-2.6377370330952097,6.413427250792041,-0.39920007787910095,-2.8422541128921495,-0.3514142766457766
21899.683784,-0.2343790404334012,0.34794178859962344,0.9158695393192744,-1.915206873620419,5.741934246200357,0.8613471290844643,-3.816470830574084,-1.9010359585758092
21899.6862276,1.3938871838533162,-0.2318103237353737,1.032394958838698,-1.1735865774580656,5.591922997251772,1.7378025413515445,-4.67300535783823,-3.6776054222636603
21899.688781,2.8373211941751304,-0.7461560816209909,1.218403793732854,-0.4359070095971793,5.9658562919116225,2.0386137794144013,-5.432536773196455,-5.445595194819392
21899.6912642,4.178086217466015,-1.1234235452681922,1.5005735034731718,0.21716045096253822,6.421735382801563,1.7678842516602096,-6.07417120415707,-6.88784505693824
21899.6912718,5.5067114237296835,-1.2883170870353027,1.9286610019162964,0.636530294785711,6.145995133999204,1.1613776519173094,-6.460886614224382,-7.630071805088512
21899.7022688,6.747073920167965,-1.267215277109015,2.442783142667613,0.7091486654369561,4.5047076743672765,0.5965766698390063,-6.361589121453163,-7.371485673916631
21899.7022769,7.622639344317047,-1.2327459448974478,2.7811050789051155,0.4584379130837313,1.547615308213663,0.4474164248972521,-5.571609293002364,-6.052858831516993
21899.7047966,7.847531106859882,-1.3948503702778017,2.6153772682990843,0.0022804629488196726,-2.0724077027439454,0.9763002798568605,-4.05400844633141,-3.9202225986114887
21899.7072246,7.3841202339811485,-1.8169543219681383,1.8203670622298382,-0.5873806539947015,-5.625363780519017,2.269462654255401,-2.0123366296594565,-1.4319145643250746
21899.7098369,6.512361991031581,-2.336214299962716,0.5941313441266534,-1.3417366165820575,-8.651236408169215,4.175930682618693,0.14352148216655536,0.9032418247705145
21899.7098431,5.643436813193427,-2.670973970881178,-0.6944505733956206,-2.291951541315644,-10.848016635861406,6.2866164516522804,1.923946890401922,2.651392566206212
21899.7122227,5.0663306596543105,-2.618496572753486,-1.7550953351241745,-3.33761582152178,-11.885004438311729,8.057714995910912,2.937517619963266,3.534648892182677
21899.7147909,4.849650451370859,-2.178164516180505,-2.4808747376506552,-4.256745986750836,-11.586683285088345,9.08828844715649,3.056091372382509,3.5084382547604793
21899.717226,4.923795056459589,-1.5298135911914592,-2.8855209937145734,-4.851341113343166,-10.314919035730227,9.372652537975014,2.479841659690301,2.805305479854529
21899.7197884,5.193757378127752,-0.9283664450260982,-3.0410960228178583,-5.066169454021438,-8.954522485282592,9.303215808820045,1.6405919164067106,1.8525893037934784
21899.7222621,5.5671220560013825,-0.6083409126692341,-3.1021962909321483,-4.97253583945564,-8.322979967366665,9.401155107428565,0.9808839548411998,1.05689189215254
21899.72227,5.934057690843085,-0.7251042442215829,-3.3046195883106884,-4.676414821674235,-8.568720966310298,9.99290457320907,0.7430802113241564,0.6048171451404922
21899.7298356,6.19400416943805,-1.3019110336139672,-3.8214200776789227,-4.270425509866477,-9.207149783277961,11.066085097790836,0.8944787695114895,0.4463383676969519
21899.7298435,6.328863660454178,-2.1806785279780083,-4.5727666577837365,-3.8501731751097568,-9.719310251228839,12.336447993480899,1.20533045393515,0.45228650423011185
21899.7322154,6.42446304302823,-3.038900668209539,-5.218660575514146,-3.514911258081214,-10.00336929354064,13.389112010756659,1.396533729406964,0.5657330121536939
21899.736233,6.5880082847085575,-3.5189381862993887,-5.398383156825869,-3.310280813125056,-10.21980923420575,13.793450754790143,1.265954251770344,0.7999980991870146
21899.7498537,6.840223236984539,-3.4087858374933075,-4.999740295110698,-3.181758378949125,-10.352889360507596,13.218403783174672,0.7586819655742687,1.125864886327248
21899.7498624,7.098521093488209,-2.741933348108816,-4.1959668670075265,-3.0250556289422326,-10.116076094081308,11.586636539557663,-0.01429279011549589,1.408167095209512
21899.7522322,7.257590594104462,-1.7470051178119643,-3.2481960580879594,-2.80397470693746,-9.3023539924665,9.18633092089283,-0.8130659783167928,1.470674338623379
21899.7548291,7.260701951968699,-0.7081969629744567,-2.321339490433026,-2.6058769846798517,-8.060520818596709,6.600093217326645,-1.3732871522739067,1.2084262396626002
21899.7548374,7.086100494325727,0.15154687977654824,-1.4959186696769216,-2.5654322305948867,-6.703144294352933,4.441008584569429,-1.5454922361275063,0.6313314720805359
21899.7588077,6.696315935916379,0.714848052329577,-0.8848207694166277,-2.740713922023101,-5.31385554877258,3.0737190166236203,-1.377170975672021,-0.16832178898524042
21899.7698363,6.046766352792309,0.9679498930261499,-0.6423135306636869,-3.078302706937981,-3.7067136668871825,2.519541609855988,-1.061846960069479,-1.0450809911161052
21899.7698442,5.16361947931213,0.9849737453485723,-0.8271653358446169,-3.489306063348816,-1.8170491666488964,2.56703377340404,-0.7877510862025563,-1.7943553460198398
21899.7722257,4.197053034723476,0.8951857715219091,-1.3051377914061941,-3.924642866491028,-0.009762382327137331,2.9352797261006938,-0.6129720011967983,-2.175003490924931
21899.7762182,3.3722848498549,0.824345759678204,-1.842756781811877,-4.357552828298629,1.1265209683543986,3.3571429661238756,-0.4655364959889834,-2.0144484379118914
21899.7872877,2.873542848835534,0.8334255406435034,-2.3010538700650383,-4.718691186237701,1.2904583494959638,3.6026407597681747,-0.24551938913855587,-1.3348030533018864
21899.7872959,2.7645269955540925,0.8990405152639696,-2.7058188983677818,-4.897747921756039,0.7012694868739988,3.534909760691173,0.0758180729793203,-0.37199801123873133
21899.7898512,2.9953937553230077,0.9551371172348988,-3.1228351187698844,-4.832064335478937,-0.17893074329312064,3.1976322756066367,0.43209412712009687,0.5535729222573043
21899.7898632,3.4471636346673593,0.9654517346053186,-3.5040371337940366,-4.571007987449269,-1.0596494443457747,2.8204248258994875,0.6956902195197614,1.2059641508971612
21899.8112878,3.9470590450203034,0.9711757833857675,-3.68871431175686,-4.218805348606503,-1.9005304259748763,2.6748720312630425,0.71502275446786,1.499920472201266
21899.8112952,4.264057282489119,1.0780124177814159,-3.5399583756041086,-3.810061368057423,-2.657999494450304,2.876486247896634,0.343162383825923,1.4463009061187422
21899.8138129,4.153868173288293,1.3885398549610386,-3.045077051097357,-3.268335138610201,-3.112570157757443,3.305795503995171,-0.5088228440875754,1.086601659308072
21899.8172293,3.4786567585684294,1.9160463481256884,-2.2920222651530793,-2.507019949954116,-3.0287504548594115,3.712752055284768,-1.7851641838335857,0.5055016918213048
21899.8288573,2.3261413099463097,2.5244061920684273,-1.413185802068407,-1.5600456788913866,-2.4284842889931904,3.896145086737544,-3.225212615592114,-0.11976420320718306
21899.8288652,1.0193495205493925,2.935383203317616,-0.6030737564828113,-0.5938677659708136,-1.6165355800493417,3.806445517048962,-4.410581768765587,-0.537119369647419
21899.8312988,-0.014351828663156763,2.8282824166866503,-0.15269984455107544,0.20715843331884676,-0.9373129597123095,3.5294579872610132,-4.933154783527126,-0.5273794208128468
21899.8313069,-0.43482051947998146,2.010733131278916,-0.34907856793709824,0.7519618611301495,-0.5911754181268494,3.222074842564097,-4.597147300270835,-0.012548029158396812
21899.8334166,-0.12254546981036363,0.5686778251420646,-1.240570387647797,1.0536120552246566,-0.7171059968644582,3.0625293671742884,-3.5283758669026137,0.9237784736842243
21899.8334224,0.8039161072347847,-1.1271920809856701,-2.4978103241651874,1.1866309256142378,-1.5210676642744279,3.1926780965818295,-2.1233784137849874,2.086223353779425
21899.8387855,2.060122907413831,-2.598706100498129,-3.572267614917488,1.285645009965335,-3.123636654875285,3.618761829099105,-0.8754775202974456,3.205558144110068
21899.8422279,3.304535200880659,-3.507977267725435,-4.046732598723277,1.5733208964106007,-5.221799429848991,4.129491854555733,-0.17697661947130072,3.9461379639220056
21899.8488568,4.255103984942801,-3.794156443286055,-3.84715271263508,2.307021133856921,-7.051656483536518,4.351530510150772,-0.18358197042182844,3.9628919809289815
21899.8488649,4.787461839330021,-3.6226763236507944,-3.141119087920446,3.604824613084819,-7.881152381375336,3.9684535150774316,-0.7784036155442786,3.062611440998591
21899.8587915,4.957232574736425,-3.239447312257579,-2.1055657183086645,5.2831878524922455,-7.580973951310873,2.949558708193356,-1.6365941500907812,1.372601996545873
21899.8649217,4.909521144882271,-2.867835791476839,-0.8553023027959163,6.884851206189937,-6.622669474551399,1.582225857567721,-2.368605732019745,-0.6621849077960196
21899.8649295,4.742913800224331,-2.6761610436767107,0.43947786874142203,7.912802594782709,-5.4953814315962735,0.26822762576988524,-2.6900640802131868,-2.5018153340321803
21899.8649317,4.463980028968507,-2.741047706052438,1.494177409754526,8.087730873158716,-4.249835418003357,-0.7316029437338027,-2.5388874966142794,-3.784514747477873
21899.8762286,4.07577821398001,-2.9814311618261495,2.072311495608382,7.438794402068288,-2.7049468741078453,-1.388903964957617,-2.07605599682471,-4.43554611394036
21899.8789446,3.6746692758043924,-3.1581589565322474,2.205431633712303,6.2172410489865495,-0.9666388788123523,-1.8136010804746423,-1.578608332743217,-4.580334709940784
21899.8789529,3.408533020534742,-3.0201688710239836,2.1899071889743045,4.762096077618301,0.505356750995313,-2.13104049308415,-1.3032573493962971,-4.411426324618234
21899.8789552,3.3268060363605905,-2.505399286277182,2.3406066915644796,3.4014519841321036,1.4123569082826926,-2.4517157081151257,-1.3950838267472623,-4.129022799200295
21899.8848028,3.3106838169844863,-1.7941773485454036,2.778167923512161,2.356871588596281,2.0058249912257846,-2.886726189741193,-1.8529692767133294,-3.917675505318785
21899.899841,3.192679463483099,-1.1455769416083301,3.4622166429530985,1.6324614959458472,2.766645066831643,-3.503367156041966,-2.5284622574416202,-3.8765963141217714
21899.8998491,2.9385380992885493,-0.6916231710766114,4.348200153397328,0.9935719887940992,3.745290834564499,-4.23528905305141,-3.1593089446591107,-3.939379907257344
21899.9022667,2.6723313217182953,-0.4120294171895509,5.406230484946447,0.14130152271758423,4.423468203146489,-4.871330556203109,-3.457766658193276,-3.9022049009428796
21899.9022708,2.508654015510045,-0.2882139154283032,6.481981353033195,-1.0123690475330975,4.308909085437852,-5.179808294351837,-3.236209733243995,-3.5829434634238595
21899.9048152,2.394342017498717,-0.41696675922838267,7.252949456777033,-2.2301950856771144,3.5346523133022743,-5.061853392958593,-2.4991515202233288,-2.9737770294906065
21899.9087969,2.1555518943457774,-0.9260516489907644,7.437861165258345,-3.130711020098735,2.729112990744678,-4.587825448147466,-1.4360214162842035,-2.2419165168276303
21899.9223051,1.699121799725563,-1.7904085973440125,7.065125859029589,-3.4865704389826995,2.340575154168149,-3.9098688404006,-0.32147963280386294,-1.5964953033921254
21899.9223227,1.135775553082605,-2.773334704134646,6.480112776413957,-3.343489091602528,2.2436763831063593,-3.173975925308447,0.601490924625729,-1.1702559161830297
21899.9247989,0.6918861116841821,-3.5687763795763994,6.05616726987861,-2.8902746500270053,2.0540999279718073,-2.515016020674179,1.1829472380251635,-1.0110334972821786
