Timestamp,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
21899.7147909,179796.375,169584.84375,191502.953125,180621.421875,175054.671875,186945.4375,190426.234375,179542.984375
21899.717226,183024.9375,173012.4375,193576.9375,185323.234375,181704.578125,189834.53125,194505.25,183848.828125
21899.7197884,189595.015625,180724.0625,197762.796875,198673.84375,205259.03125,195948.546875,203420.546875,191303.140625
21899.7222621,190564.453125,182244.328125,198365.484375,202605.515625,213944.5625,196926.203125,205027.015625,191708.5
21899.72227,184094.4375,174878.0,194229.34375,190662.625,193940.375,191036.703125,196470.859375,183961.65625
21899.7298356,179814.515625,169603.96875,191519.234375,180633.484375,175057.625,186961.265625,190437.140625,179557.390625
21899.7298435,183050.421875,173038.265625,193594.09375,185359.8125,181755.359375,189861.265625,194534.03125,183874.9375
21899.7322154,189618.625,180746.234375,197778.265625,198715.875,205323.765625,195975.1875,203451.40625,191328.4375
21899.736233,190567.671875,182243.265625,198365.75,202606.953125,213940.71875,196934.4375,205026.84375,191706.71875
21899.7498537,184084.421875,174859.9375,194221.375,190629.1875,193873.046875,191029.90625,196450.75,183944.5
21899.7498624,179819.703125,169605.671875,191526.109375,180630.71875,175041.96875,186967.25,190440.71875,179565.78125
21899.7522322,183074.125,173064.015625,193612.421875,185398.078125,181817.40625,189878.25,194560.59375,183901.3125
21899.7548291,189633.8125,180764.828125,197790.59375,198748.40625,205383.3125,195981.984375,203465.796875,191343.546875
21899.7548374,190560.078125,182240.390625,198364.859375,202593.625,213920.875,196915.296875,205010.5625,191695.625
21899.7588077,184064.921875,174843.671875,194212.703125,190591.015625,193810.28125,191000.5,196423.46875,183923.3125
21899.7698363,179817.5625,169605.765625,191528.359375,180622.046875,175030.078125,186956.890625,190438.390625,179562.75
21899.7698442,183091.015625,173085.484375,193628.171875,185429.453125,181877.9375,189890.59375,194585.171875,183920.53125
21899.7722257,189648.75,180789.046875,197804.453125,198781.765625,205451.515625,195993.875,203490.203125,191358.203125
21899.7762182,190545.140625,182228.6875,198355.296875,202574.671875,213902.453125,196904.65625,204997.96875,191677.03125
21899.7872877,184040.703125,174820.421875,194198.765625,190549.171875,193749.84375,190981.984375,196396.109375,183898.890625
21899.7872959,179810.5,169601.375,191522.984375,180609.609375,175017.65625,186954.203125,190432.578125,179561.9375
21899.7898512,183100.765625,173100.046875,193630.578125,185452.078125,181924.25,189901.234375,194604.75,183939.75
21899.7898632,189653.3125,180796.390625,197802.21875,198803.21875,205496.859375,195997.1875,203501.5625,191367.15625
21899.8112878,190530.578125,182215.984375,198344.390625,202556.4375,213872.046875,196890.09375,204981.875,191662.734375
21899.8112952,184015.03125,174790.03125,194177.296875,190501.78125,193663.84375,190954.8125,196362.40625,183871.0
21899.8138129,179804.0625,169593.328125,191513.59375,180596.46875,174994.3125,186943.5625,190422.828125,179557.65625
21899.8172293,183109.515625,173112.125,193634.78125,185477.375,181968.515625,189908.5625,194615.21875,183950.65625
21899.8288573,189661.265625,180807.734375,197807.046875,198829.6875,205542.53125,196008.984375,203514.34375,191375.734375
21899.8288652,190522.25,182207.671875,198339.828125,202546.421875,213851.3125,196882.578125,204965.78125,191649.046875
21899.8312988,183991.4375,174770.359375,194169.078125,190468.875,193603.484375,190939.875,196331.75,183850.4375
21899.8313069,179796.1875,169597.359375,191520.390625,180590.21875,174970.453125,186941.421875,190413.0,179554.609375
21899.8334166,183124.359375,173134.46875,193650.421875,185514.21875,182020.546875,189924.390625,194637.125,183973.734375
21899.8334224,189676.46875,180820.53125,197815.0,198867.859375,205608.703125,196021.765625,203536.875,191396.390625
21899.8387855,190512.515625,182190.0625,198328.921875,202532.390625,213835.125,196874.71875,204958.625,191638.953125
21899.8422279,183985.359375,174751.671875,194161.03125,190439.640625,193539.828125,190928.875,196320.390625,183839.265625
21899.8488568,179807.546875,169591.8125,191520.21875,180588.609375,174945.59375,186945.34375,190420.6875,179565.875
21899.8488649,183146.890625,173150.65625,193658.921875,185543.984375,182052.734375,189942.1875,194660.09375,183997.25
21899.8587915,189695.953125,180841.984375,197829.75,198905.859375,205665.109375,196041.078125,203559.484375,191415.15625
21899.8649217,190510.0,182186.84375,198334.28125,202534.171875,213833.34375,196872.203125,204955.140625,191630.71875
21899.8649295,183974.453125,174735.671875,194158.890625,190410.40625,193472.234375,190909.921875,196293.828125,183814.859375
21899.8649317,179820.515625,169604.953125,191535.140625,180598.890625,174936.46875,186947.3125,190425.609375,179569.0
21899.8762286,183174.609375,173181.40625,193684.765625,185590.390625,182119.25,189963.734375,194695.328125,184021.296875
21899.8789446,189708.828125,180859.6875,197845.484375,198938.3125,205730.46875,196049.03125,203580.0625,191423.75
21899.8789529,190496.0625,182172.0,198327.9375,202515.671875,213820.90625,196858.4375,204937.875,191610.96875
21899.8789552,183945.03125,174705.625,194141.265625,190358.734375,193402.140625,190884.71875,196265.484375,183788.65625
21899.8848028,179809.0625,169596.640625,191528.53125,180571.34375,174910.015625,186934.4375,190416.21875,179561.9375
21899.899841,183188.921875,173201.984375,193691.828125,185608.984375,182173.796875,189969.453125,194709.71875,184034.796875
21899.8998491,189720.28125,180876.046875,197851.21875,198967.1875,205797.34375,196058.875,203596.15625,191436.984375
21899.9022667,190479.25,182158.59375,198320.328125,202491.53125,213787.203125,196839.390625,204917.3125,191592.71875
21899.9022708,183918.921875,174680.765625,194129.015625,190309.5625,193326.859375,190859.234375,196231.25,183761.921875
21899.9048152,179795.65625,169584.390625,191522.09375,180548.546875,174892.484375,186921.75,190402.984375,179553.890625
21899.9087969,183190.703125,173207.515625,193694.328125,185620.421875,182220.8125,189969.90625,194720.625,184044.359375
21899.9223051,189728.953125,180888.5625,197854.609375,198984.890625,205840.71875,196062.0,203610.1875,191444.484375
21899.9223227,190457.875,182137.9375,198306.296875,202464.609375,213742.5,196824.015625,204901.9375,191574.84375
21899.9247989,183891.828125,174647.859375,194110.421875,190258.59375,193241.03125,190837.5,196200.40625,183736.359375
