pipeline,channels,subject,accuracy,roc_auc
aug_ts_svm,8ch,9,0.8508771929824561,0.9226770851027688
aug_ts_mlp,8ch,1,0.8333333333333333,0.9290215729573637
aug_ts_mlp,8ch,2,0.6006049606775561,0.6703754034312893
aug_ts_mlp,8ch,3,0.9514821536600122,0.9906149142177678
aug_ts_mlp,8ch,4,0.7431336963097399,0.8367164939697638
aug_ts_mlp,8ch,5,0.6180278281911675,0.6653473755732972
aug_ts_mlp,8ch,6,0.7252873563218392,0.8194921012400205
aug_ts_mlp,8ch,7,0.7637023593466423,0.8403516222184475
aug_ts_mlp,8ch,8,0.9513006654567453,0.9925343978257176
aug_ts_mlp,8ch,9,0.8127646702964306,0.9215814506539832
csp_svm,8ch,1,0.8889292196007259,0.9438423645320198
csp_svm,8ch,2,0.5453115547489412,0.5690589434346867
csp_svm,8ch,3,0.96194797338173,0.993961270596229
csp_svm,8ch,4,0.7154264972776769,0.7876422626125361
csp_svm,8ch,5,0.47918935269207497,0.5179123492440972
csp_svm,8ch,6,0.6732607380520266,0.7220570749108204
csp_svm,8ch,7,0.7218995765275258,0.7847545439103107
csp_svm,8ch,8,0.9549909255898367,0.9843553592661796
csp_svm,8ch,9,0.8056261343012704,0.8745031425174112
csp_lda,8ch,1,0.8717483363581368,0.9450569050450145
csp_lda,8ch,2,0.5489413188142771,0.5714370647188721
csp_lda,8ch,3,0.961826981246219,0.9934856463393918
csp_lda,8ch,4,0.7294010889292195,0.8097587905554612
csp_lda,8ch,5,0.5169388989715669,0.50948700526584
csp_lda,8ch,6,0.6976406533575318,0.7507219296755563
csp_lda,8ch,7,0.7081669691470054,0.7536521148292848
csp_lda,8ch,8,0.9411978221415609,0.9872685578393069
csp_lda,8ch,9,0.8021778584392015,0.8852896211992526
csp_rf,8ch,1,0.8648517846339988,0.928473755732971
csp_rf,8ch,2,0.5488203266787659,0.5467215899439444
csp_rf,8ch,3,0.9479128856624317,0.9929760489213522
csp_rf,8ch,4,0.6909860859044162,0.7597418039748598
csp_rf,8ch,5,0.5173623714458561,0.4941481229828435
csp_rf,8ch,6,0.6075620084694495,0.6553592661797178
csp_rf,8ch,7,0.6905021173623715,0.7707873280108715
csp_rf,8ch,8,0.9480338777979431,0.982639714625446
csp_rf,8ch,9,0.7848759830611011,0.8490997112281298
csp_mlp,8ch,1,0.8924379915305506,0.9509682350942755
csp_mlp,8ch,2,0.5557773744706594,0.5661882113130627
csp_mlp,8ch,3,0.965275257108288,0.993001528792254
csp_mlp,8ch,4,0.7398669086509377,0.8102004416510956
csp_mlp,8ch,5,0.5308529945553538,0.5152794292508918
csp_mlp,8ch,6,0.7044767090139141,0.7511296076099881
csp_mlp,8ch,7,0.697761645493043,0.7533888228299643
csp_mlp,8ch,8,0.951482153660012,0.9865381348734499
csp_mlp,8ch,9,0.8195402298850574,0.8836249363003228
cov_ts_lr,22ch,1,0.8369630973986689,0.9403431289281468
cov_ts_lr,22ch,2,0.635632183908046,0.640360115508748
cov_ts_lr,22ch,3,0.9826376285541439,0.9965941905894343
cov_ts_lr,22ch,4,0.767513611615245,0.8603023611347036
cov_ts_lr,22ch,5,0.594010889292196,0.6715135043315781
cov_ts_lr,22ch,6,0.7531760435571688,0.8267029047052828
cov_ts_lr,22ch,7,0.7879612825166363,0.9006964498046542
cov_ts_lr,22ch,8,0.951482153660012,0.9918209614404621
cov_ts_lr,22ch,9,0.8022988505747126,0.8758111092237133
cov_ts_svm,22ch,1,0.8750151240169389,0.9551384406319009
cov_ts_svm,22ch,2,0.6422262552934058,0.6894428401562764
cov_ts_svm,22ch,3,0.9687840290381124,0.9958807542041788
cov_ts_svm,22ch,4,0.7850574712643678,0.8798793952777306
cov_ts_svm,22ch,5,0.62183908045977,0.6651435366060812
cov_ts_svm,22ch,6,0.7809437386569873,0.8580856123662306
cov_ts_svm,22ch,7,0.7949183303085299,0.8953711567861389
cov_ts_svm,22ch,8,0.965275257108288,0.9961695260744013
cov_ts_svm,22ch,9,0.8440411373260737,0.9213861049770682
cov_ts_mlp,22ch,1,0.8506352087114337,0.9463733650416172
cov_ts_mlp,22ch,2,0.6285541439806412,0.6650161372515713
cov_ts_mlp,22ch,3,0.9618874773139746,0.9954136232376423
cov_ts_mlp,22ch,4,0.7710223835450696,0.850450144385935
cov_ts_mlp,22ch,5,0.6215366001209921,0.6663580771190759
cov_ts_mlp,22ch,6,0.7705384150030248,0.8572023101749618
cov_ts_mlp,22ch,7,0.7914095583787053,0.8759045354170206
cov_ts_mlp,22ch,8,0.9445251058681187,0.989629692542891
cov_ts_mlp,22ch,9,0.8473684210526315,0.9028622388313231
cov_mdm,22ch,1,0.833696309739867,0.945872260913878
cov_mdm,22ch,2,0.5072595281306715,0.5462969254289112
cov_mdm,22ch,3,0.941016333938294,0.9841430270086633
cov_mdm,22ch,4,0.7017543859649124,0.770834041107525
cov_mdm,22ch,5,0.5558983666061706,0.5652029896381858
cov_mdm,22ch,6,0.700907441016334,0.7351961950059452
cov_mdm,22ch,7,0.6840290381125227,0.7779514183794803
cov_mdm,22ch,8,0.951482153660012,0.987294037710209
cov_mdm,22ch,9,0.7675136116152451,0.8475199592322067
aug_ts_lr,22ch,1,0.8820326678765881,0.9685578393069475
aug_ts_lr,22ch,2,0.6773744706594071,0.7189909971122812
aug_ts_lr,22ch,3,0.9756805807622506,0.9966026838797349
aug_ts_lr,22ch,4,0.7917725347852389,0.8951758111092237
aug_ts_lr,22ch,5,0.6843920145190563,0.7316205197893664
aug_ts_lr,22ch,6,0.7912885662431942,0.8728554441990827
aug_ts_lr,22ch,7,0.888626739261948,0.9444538814336674
aug_ts_lr,22ch,8,0.9652147610405324,0.9978257176830304
aug_ts_lr,22ch,9,0.8611615245009074,0.9206981484627145
aug_ts_svm,22ch,1,0.895946763460375,0.9745625955495159
aug_ts_svm,22ch,2,0.6704174228675136,0.7237387463903516
aug_ts_svm,22ch,3,0.9722323049001815,0.9971037880074741
aug_ts_svm,22ch,4,0.8196007259528131,0.9002123322575166
aug_ts_svm,22ch,5,0.6421052631578947,0.7202734839476814
aug_ts_svm,22ch,6,0.7982456140350878,0.8869203329369798
aug_ts_svm,22ch,7,0.9059891107078041,0.9463478851707151
aug_ts_svm,22ch,8,0.9687235329703568,0.9988024460676066
aug_ts_svm,22ch,9,0.8716273442226254,0.9383302191268896
aug_ts_mlp,22ch,1,0.8785238959467634,0.960744012230338
aug_ts_mlp,22ch,2,0.65989110707804,0.7358246984881944
aug_ts_mlp,22ch,3,0.9687840290381124,0.9946747069814845
aug_ts_mlp,22ch,4,0.7952813067150636,0.8692373025310005
aug_ts_mlp,22ch,5,0.6595886267392619,0.7141753015118057
aug_ts_mlp,22ch,6,0.8225650332728373,0.87025649736708
aug_ts_mlp,22ch,7,0.8537810042347248,0.9249702734839478
aug_ts_mlp,22ch,8,0.9617664851784633,0.9905214880244607
aug_ts_mlp,22ch,9,0.8578947368421053,0.9218022762018006
