EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
186010.800,176559.400,360493.300,413993.800,197940.200,192492.700,199402.400,187913.900,0.000
187324.700,178866.200,361484.700,418501.500,208859.900,194061.900,202317.500,189869.500,0.000
183929.500,174524.600,358831.900,411508.400,196652.200,190557.100,196736.200,184326.000,0.000
180877.800,170002.900,356290.800,403057.900,179459.000,187130.000,190916.200,179494.600,0.000
182179.200,171308.800,357043.500,404181.300,180572.900,188328.600,192609.800,181724.300,0.000
185988.200,176541.400,359835.100,412787.900,197900.200,192472.800,199376.900,187887.000,0.000
187285.500,178834.300,360827.900,417273.000,208763.800,194021.800,202270.300,189833.500,0.000
183921.000,174518.500,358197.800,410330.600,196627.900,190539.200,196721.400,184320.000,0.000
180908.000,170022.900,355683.300,401949.900,179546.500,187148.800,190941.900,179520.200,0.000
182199.300,171319.000,356438.900,403080.600,180662.600,188344.400,192629.000,181740.300,0.000
185978.000,176528.100,359220.500,411648.100,197890.800,192456.400,199362.000,187873.200,0.000
187253.200,178799.200,360209.700,416103.600,208663.900,193985.100,202231.100,189804.100,0.000
183906.500,174502.000,357597.200,409217.000,196599.400,190531.500,196712.300,184320.600,0.000
180923.800,170041.900,355101.700,400909.900,179635.900,187170.300,190966.300,179546.600,0.000
182216.300,171341.200,355862.800,402058.500,180752.300,188365.800,192652.300,181761.100,0.000
185960.400,176515.800,358632.900,410587.800,197860.700,192444.000,199347.600,187862.100,0.000
187217.000,178770.100,359619.200,415030.700,208566.500,193955.000,202201.700,189784.000,0.000
183895.700,174497.000,357022.300,408193.600,196561.800,190522.300,196705.000,184323.200,0.000
180937.600,170060.400,354546.900,399947.500,179678.300,187189.900,190987.000,179570.500,0.000
182225.000,171356.400,355311.000,401112.700,180788.200,188379.600,192669.600,181775.900,0.000
185939.600,176501.100,358070.000,409604.800,197816.300,192424.700,199324.500,187841.900,0.000
187181.700,178737.800,359052.600,414018.200,208460.900,193912.300,202151.200,189744.400,0.000
183896.500,174498.800,356484.200,407235.500,196512.800,190517.300,196696.700,184321.300,0.000
180974.400,170097.000,354034.400,399059.900,179702.400,187231.500,191030.600,179607.100,0.000
182256.700,171390.300,354803.400,400231.100,180821.700,188414.300,192705.000,181804.100,0.000
185949.600,176516.300,357560.500,408686.500,197809.200,192431.700,199327.700,187846.000,0.000
187180.500,178744.900,358548.700,413078.900,208419.200,193908.500,202138.100,189740.000,0.000
183908.900,174520.300,355995.300,406333.000,196503.800,190529.900,196710.400,184340.000,0.000
181003.900,170133.900,353551.100,398202.800,179748.600,187253.000,191066.400,179639.100,0.000
182263.100,171401.000,354299.100,399355.800,180846.600,188418.000,192718.400,181811.000,0.000
185906.500,176476.800,357022.900,407742.400,197743.500,192389.200,199286.700,187805.500,0.000
